ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,199_FED_20160711c_3T1_PL2017,Pic_Sem, 395,3.447890
LH_postParietal,199_FED_20160711c_3T1_PL2017,Pic_Perc, 395,2.924414
LH_postParietal,199_FED_20160711c_3T1_PL2017,Sent_Sem, 395,2.528040
LH_postParietal,199_FED_20160711c_3T1_PL2017,Sent_Perc, 395,1.741178
LH_postParietal,261_FED_20160523c_3T2_PL2017,Pic_Sem, 395,3.821109
LH_postParietal,261_FED_20160523c_3T2_PL2017,Pic_Perc, 395,1.878539
LH_postParietal,261_FED_20160523c_3T2_PL2017,Sent_Sem, 395,2.615835
LH_postParietal,261_FED_20160523c_3T2_PL2017,Sent_Perc, 395,1.219671
LH_postParietal,407_FED_20160804a_3T1_PL2017,Pic_Sem, 395,2.398630
LH_postParietal,407_FED_20160804a_3T1_PL2017,Pic_Perc, 395,1.792020
LH_postParietal,407_FED_20160804a_3T1_PL2017,Sent_Sem, 395,1.591219
LH_postParietal,407_FED_20160804a_3T1_PL2017,Sent_Perc, 395,1.187055
LH_postParietal,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 395,0.624843
LH_postParietal,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 395,1.000373
LH_postParietal,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 395,0.403888
LH_postParietal,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 395,0.116867
LH_postParietal,409_FED_20160622a_3T1_PL2017,Pic_Sem, 395,3.935137
LH_postParietal,409_FED_20160622a_3T1_PL2017,Pic_Perc, 395,1.978324
LH_postParietal,409_FED_20160622a_3T1_PL2017,Sent_Sem, 395,0.630854
LH_postParietal,409_FED_20160622a_3T1_PL2017,Sent_Perc, 395,1.362022
LH_postParietal,410_FED_20160623b_3T2_PL2017,Pic_Sem, 395,2.431884
LH_postParietal,410_FED_20160623b_3T2_PL2017,Pic_Perc, 395,1.396440
LH_postParietal,410_FED_20160623b_3T2_PL2017,Sent_Sem, 395,0.352469
LH_postParietal,410_FED_20160623b_3T2_PL2017,Sent_Perc, 395,-0.263324
LH_postParietal,730_FED_20190306a_3T2_PL2017,Pic_Sem, 395,2.868380
LH_postParietal,730_FED_20190306a_3T2_PL2017,Pic_Perc, 395,1.883487
LH_postParietal,730_FED_20190306a_3T2_PL2017,Sent_Sem, 395,1.467193
LH_postParietal,730_FED_20190306a_3T2_PL2017,Sent_Perc, 395,1.372872
LH_postParietal,776_FED_20190611b_3T2_PL2017,Pic_Sem, 395,3.541607
LH_postParietal,776_FED_20190611b_3T2_PL2017,Pic_Perc, 395,3.276843
LH_postParietal,776_FED_20190611b_3T2_PL2017,Sent_Sem, 395,2.085296
